Year,Original,Series or Movie,Films,Rating,Genre
2015.0,0.0,Movie,27,6.096296296296296,MUSIC
2015.0,0.0,Series,4,6.95,MUSIC
2015.0,1.0,Movie,2,7.35,MUSIC
2016.0,0.0,Movie,28,6.2749999999999995,MUSIC
2016.0,0.0,Series,10,7.24,MUSIC
2016.0,1.0,Movie,1,5.3,MUSIC
2016.0,1.0,Series,3,8.333333333333334,MUSIC
2017.0,0.0,Movie,41,6.143902439024391,MUSIC
2017.0,0.0,Series,10,6.7700000000000005,MUSIC
2017.0,1.0,Movie,1,7.0,MUSIC
2017.0,1.0,Series,1,6.1,MUSIC
2018.0,0.0,Movie,52,6.5903846153846155,MUSIC
2018.0,0.0,Series,8,7.375,MUSIC
2018.0,1.0,Movie,5,5.74,MUSIC
2018.0,1.0,Series,5,6.2,MUSIC
